col1,FieldID,ra,dec,mtot_all,ntns,mtot,sfrtot,ngal,lum,BGLT_orig,mindist,selected
7822,7823,128.12227,-4.22502,1.396069824512E12,0.9565243942364378,9.56884975616E11,46.5841178894043,18.0,2.9659893466054486E-5,true,57.6492,true
8001,8002,48.73362,-2.65117,9.82757243904E11,0.4688641576627114,5.96056080384E11,28.17837905883789,14.0,4.18522175605984E-5,true,20.8994,true
8014,8015,69.1703,-2.65117,2.316617973888E12,0.4688641576627114,7.48824952832E11,25.76357078552246,15.0,5.2974495648608085E-5,true,39.8365,true
8192,8193,348.99564,-2.65117,1.439990349312E12,0.0,1.119097716736E12,38.04153823852539,21.0,3.9244692742226706E-5,true,49.329,true
8210,8211,18.0786,-1.07732,5.31888189888E11,0.9202752827049554,6.6297921536E11,35.372005462646484,16.0,3.960520916688179E-5,false,57.4444,true
8212,8213,21.22271,-1.07732,2.440606917952E12,0.4601376413524777,8.84686389248E11,28.650854110717773,37.0,5.3867825043962055E-5,true,60.256,true
8213,8214,22.79476,-1.07732,7.09028889984E11,0.4601376413524777,5.4822518784E11,16.56277847290039,13.0,4.3755615478191765E-5,false,45.9198,true
8225,8226,41.65939,-1.07732,5.9021953344E11,0.0,5.50068092928E11,26.783161163330078,16.0,9.953624967835605E-5,false,14.2885,true
8440,8441,18.86463,0.49654,3.9876469222225E11,0.4520710691548853,3.76861229056E11,17.548847198486328,11.0,5.222361141847118E-5,false,12.3548,true
8441,8442,20.43668,0.49654,1.40606412416E11,0.4520710691548853,4.1009577984E11,36.32184982299805,17.0,4.303758760126566E-5,false,22.6657,true
8454,8455,40.87336,0.49654,6.13205894832E11,0.4520710691548853,9.58859378688E11,64.65096282958984,20.0,7.565907429398185E-4,false,10.4135,true
8455,8456,42.44542,0.49654,8.34705915648E11,0.0,9.03025328128E11,43.89875793457031,18.0,5.624297767355815E-5,false,30.1971,true
8682,8683,40.08733,2.07039,1.871404419584E12,0.44465275253136805,6.22634532864E11,31.970684051513672,24.0,3.7466215843076034E-5,true,50.0084,true
8776,8777,187.86026,2.07039,1.03324845056E11,0.0,1.68800960512E11,13.77030086517334,4.0,5.425620229837087E-7,false,13.8224,true
8899,8900,20.43668,3.64424,6.40680433552E11,0.0,4.31621865472E11,31.515188217163086,13.0,6.615439633396873E-5,false,27.7971,true
8937,8938,80.17467,3.64424,1.06700951809375E12,0.0,7.03447498752E11,22.213632583618164,14.0,3.7833448895300985E-5,false,59.4067,true
8966,8967,125.76419,3.64424,1.62059354179325E12,0.8757418496529927,8.35345711104E11,40.35954284667969,29.0,4.079491217768943E-5,true,39.3016,true
9028,9029,223.23143,3.64424,1.394035845888E12,1.313612774479489,7.6876054528E11,33.077850341796875,20.0,2.8138298477905376E-5,true,19.297,true
9136,9137,33.79913,5.21809,2.72386666544E11,0.43171424252180257,5.44063881216E11,72.41065216064453,8.0,7.213374190032946E-5,false,16.389,true
9143,9144,44.80349,5.21809,1.39247251584E12,0.43171424252180257,1.254186549248E12,34.2648811340332,22.0,3.909354918487238E-5,true,66.6807,true
9372,9373,44.21053,6.79195,2.2126829005000547E12,0.42617194972947525,1.651695812608E12,80.53919219970703,41.0,7.4350093024508E-5,true,67.2977,true
9394,9395,78.94737,6.79195,4.327632247808E12,0.8523438994589505,1.75706472448E12,63.9569091796875,52.0,6.686895598530132E-5,true,61.4753,true
9511,9512,263.68423,6.79195,7.51028041728E11,0.42617194972947525,6.5198751744E11,34.23870849609375,7.0,1.0876583343283447E-4,false,25.5747,true
9792,9793,349.69162,8.3658,2.98975435776E11,0.0,3.72915798016E11,10.911688804626465,15.0,5.0040489435688825E-5,true,33.4195,true
9875,9876,121.06194,9.93965,1.524716906592E12,0.0,8.49188814848E11,44.4777946472168,33.0,4.218572922768556E-5,false,55.795,true
9992,9993,307.43362,9.93965,3.41508590592E11,0.0,5.04809160704E11,9.653825759887695,9.0,7.172913437701982E-5,false,46.9861,true
10171,10172,234.40001,11.5135,3.34094669824E11,0.0,3.66946582528E11,9.632967948913574,13.0,6.161194171490292E-5,false,28.5486,true
10267,10268,27.32143,13.08736,9.64677167488E11,0.0,4.47242207232E11,28.307069778442383,19.0,3.9540835119769505E-5,false,59.712,true
10458,10459,334.28571,13.08736,1.071935177728E12,0.0,1.273463963648E12,29.287616729736328,20.0,2.3690556143194666E-5,true,76.913,true
10623,10624,241.34528,14.66121,9.98329794688E11,0.40736994579087066,1.08078465024E12,60.341941833496094,36.0,2.137369105637619E-5,true,64.2688,true
10680,10681,333.36322,14.66121,9.99145681536E11,0.0,1.032868397056E12,51.73504638671875,25.0,2.952716923588118E-5,true,85.6308,true
10722,10723,40.72398,16.23506,6.0426177792E11,0.4053475417060137,7.47610308608E11,89.23439025878906,19.0,3.067456772127377E-5,false,105.7337,true
