col1,FieldID,ra,dec,mtot_all,ntns,mtot,sfrtot,ngal,flux,mindist,BGLT_orig,score,selected
4754,4755,159.13043,-26.25896,6.06411933312E11,0.6816860334470674,5.86910859264E11,38.341129302978516,29.0,2.5978263217015584E-5,39.0287,false,3.22989342299525,true
4857,4858,338.26086,-26.25896,6.83694277376E11,0.6816860334470674,3.08053311488E11,23.509376525878906,9.0,5.24604692851358E-5,17.3821,false,2.6966913287115393,true
4877,4878,12.0,-24.68511,6.5614585856E10,1.9893954272842436,1.64725686272E11,13.962545394897461,3.0,0.002668778877664895,3.5279,false,5.73678531425195,true
5065,5066,334.28571,-24.68511,9.06235213056E11,0.0,5.96743487488E11,33.778724670410156,15.0,2.6363804846020368E-5,55.4925,false,2.6804904266342486,true
5066,5067,336.0,-24.68511,4.73560504968E11,0.6631318090947479,5.00674822144E11,21.713211059570312,13.0,3.030057631200955E-5,34.9218,false,2.6310696788070427,true
5067,5068,337.71429,-24.68511,1.594021094272E12,0.0,5.9889778688E11,15.26992130279541,23.0,3.2571151665808564E-5,61.0183,false,3.282891167317107,true
5068,5069,339.42859,-24.68511,1.805489904896E12,0.0,9.95508224E11,6.231322288513184,24.0,1.5942212480763762E-5,127.9658,false,2.764838818529345,true
5082,5083,4.24528,-23.11126,2.83917137024E11,0.0,1.19838670848E11,13.25446605682373,2.0,5.246057753485859E-6,90.1894,false,-1.5197603566310445,true
5093,5094,22.92453,-23.11126,2.75965184192E11,0.0,1.991131136E11,6.8195672035217285,10.0,5.6674383811338167E-5,19.1112,false,2.6825668810886487,true
5106,5107,45.0,-23.11126,4.14248417216E11,0.0,5.36911937536E11,3.798509359359741,9.0,6.453004597485804E-5,20.3346,false,3.162793015228102,true
5267,5268,318.39624,-23.11126,1.879995136E12,0.0,1.28511705088E12,28.02509307861328,24.0,1.5157292022641781E-5,92.3485,false,2.8209192139366284,true
5299,5300,11.7757,-21.53741,9.8588799488E10,0.6275139478121934,1.64426203136E11,35.68183898925781,6.0,9.581452104532897E-6,91.8563,false,0.22585186162803872,true
5313,5314,35.3271,-21.53741,4.58941971264E11,0.0,1.89106601984E11,9.740789413452148,5.0,1.0795093109651431E-4,17.9448,false,2.7577126810172263,true
5324,5325,53.83178,-21.53741,1.17149355392E11,0.0,2.72059236352E11,30.938674926757812,8.0,5.9114688633132156E-5,19.2474,false,2.6700819647450924,true
5348,5349,94.2056,-21.53741,2.92964731648E11,1.2550278956243868,2.89018413056E11,17.933765411376953,6.0,7.072062653647753E-5,35.4813,false,2.641093261782025,true
5375,5376,139.62617,-21.53741,4.7752916992E10,0.0,5.7652109312E10,0.5672565698623657,2.0,7.285213645123693E-5,9.2431,false,1.0189809236135634,true
5411,5412,200.18692,-21.53741,1.3358195208E11,0.0,1.04989810688E11,7.541841506958008,6.0,2.8902119406523225E-5,5.1595,false,1.229773880769006,true
5985,5986,71.18182,-16.81585,1.150754241024E12,1.735658658584864,9.31872571392E11,30.718257904052734,22.0,2.7590744413602594E-5,38.1833,false,3.256110435961279,true
6134,6135,315.0,-16.81585,9.05170598912E11,2.3142115447798184,8.38415548416E11,67.78321838378906,14.0,2.261935655600487E-5,19.6626,false,2.6019160114612188,true
6187,6188,40.54054,-15.242,1.322506320384E12,0.0,6.59057672192E11,27.040573120117188,20.0,2.7227872109907262E-5,41.4954,false,3.0085176665227937,true
6408,6409,39.55157,-13.66814,9.79816175616E11,0.5492541788705156,8.1438113792E11,26.875308990478516,19.0,2.551544638501452E-5,58.0764,false,2.985342834677674,true
6418,6419,55.69506,-13.66814,5.16404022016E11,0.0,3.8721224704E11,33.01454544067383,9.0,5.1970760475907336E-5,20.555,false,2.7858317834203117,true
6426,6427,68.60986,-13.66814,5.039385958024E12,0.5492541788705156,1.754278395904E12,6.493516445159912,71.0,1.6257903443838468E-5,68.6128,true,3.974276562314861,true
6649,6650,67.2,-12.09428,2.400842226432E12,0.0,1.10828716032E12,47.87155532836914,32.0,1.9468514460874194E-5,101.859,true,3.278284293721345,true
6837,6838,8.76106,-10.52043,6.17732585984E11,0.0,4.4991414272E11,14.920856475830078,12.0,3.333941276647565E-5,56.1492,false,2.6188870021681687,true
6859,6860,43.80531,-10.52043,7.15255416064E11,0.0,4.47941443584E11,23.693222045898438,11.0,3.684185863763075E-5,17.9471,false,2.649860445165089,true
7063,7064,7.92952,-8.94658,3.04541019648E11,0.5105882894672955,4.16310198272E11,14.512639999389648,11.0,1.0501234646644157E-4,15.5467,false,3.755303327052845,true
7064,7065,9.51542,-8.94658,3.9555941248E11,0.0,2.42982076416E11,20.628631591796875,9.0,9.291375317832615E-5,15.5467,false,3.214259266447119,true
7083,7084,39.64758,-8.94658,4.32830011904E11,0.0,4.58445324288E11,16.262422561645508,9.0,5.436993885639095E-5,9.256,false,2.9081696780732518,true
7294,7295,15.0,-7.37273,9.1212432768E11,0.0,7.49791412224E11,42.910789489746094,14.0,5.331408465261615E-5,19.0631,true,3.48430142631212,true
7310,7311,40.26316,-7.37273,4.18061660032E11,0.0,5.138374656E11,18.246137619018555,14.0,3.811491476773545E-5,19.6587,false,2.9558192206508878,true
7311,7312,41.84211,-7.37273,3.47141684224E11,0.0,3.12155537408E11,20.545486450195312,7.0,7.220989204618896E-5,19.9095,false,2.8310588627385354,true
7548,7549,55.26316,-5.79887,3.80495412096E11,0.4883426373407327,6.09577598976E11,34.54789352416992,22.0,2.4547996624484065E-5,56.3669,false,2.9449144978594397,true
7559,7560,72.63158,-5.79887,5.42050258752E11,0.4883426373407327,4.58186620928E11,34.00780487060547,12.0,3.756353474666718E-5,36.2321,false,2.756321027804459,true
7635,7636,192.63159,-5.79887,2.314739814175E11,0.0,1.62142683136E11,5.697076797485352,7.0,5.40996582126696E-7,12.8914,false,-2.766920261134736,true
7776,7777,55.80786,-4.22502,4.2519136768E11,0.0,5.85376268288E11,17.06660270690918,19.0,4.661542279293411E-5,46.8939,false,3.496266382503693,true
7822,7823,128.12227,-4.22502,1.396069824512E12,0.9565243942364378,9.56884975616E11,46.5841178894043,18.0,1.9963996235790885E-5,57.6492,true,2.7420234441032267,true
8001,8002,48.73362,-2.65117,9.82757243904E11,0.4688641576627114,5.96056080384E11,28.17837905883789,14.0,3.803227797945866E-5,20.8994,true,3.017924040620679,true
